contractID,Contract,PaperlessBilling
1,Month-to-month,Yes
2,One year,No
3,Month-to-month,Yes
4,One year,No
5,Month-to-month,Yes
6,Month-to-month,Yes
7,Month-to-month,Yes
8,Month-to-month,No
9,Month-to-month,Yes
10,One year,No
11,Month-to-month,Yes
12,Two year,No
13,One year,No
14,Month-to-month,Yes
15,Month-to-month,Yes
16,Two year,No
17,One year,No
18,Two year,No
19,Month-to-month,No
20,Month-to-month,Yes
21,Month-to-month,Yes
22,One year,No
23,Month-to-month,No
24,Two year,Yes
25,Month-to-month,No
26,Month-to-month,Yes
27,Month-to-month,Yes
28,Month-to-month,No
29,Two year,Yes
30,Month-to-month,Yes
31,Two year,Yes
32,Month-to-month,Yes
33,One year,No
34,Month-to-month,No
35,Month-to-month,No
36,Two year,No
37,Month-to-month,Yes
38,Month-to-month,Yes
39,Month-to-month,Yes
40,Month-to-month,Yes
41,One year,No
42,Two year,Yes
43,One year,No
44,Two year,Yes
45,Month-to-month,Yes
46,Month-to-month,Yes
47,Month-to-month,No
48,Month-to-month,Yes
49,Two year,Yes
50,Two year,Yes
51,Month-to-month,Yes
52,Month-to-month,Yes
53,Month-to-month,Yes
54,Month-to-month,Yes
55,One year,Yes
56,Month-to-month,Yes
57,One year,Yes
58,One year,Yes
59,Two year,No
60,Two year,Yes
61,Month-to-month,Yes
62,Month-to-month,Yes
63,Two year,No
64,One year,Yes
65,Month-to-month,No
66,Month-to-month,Yes
67,One year,Yes
68,Two year,No
69,Two year,No
70,Month-to-month,Yes
71,Month-to-month,No
72,One year,Yes
73,Two year,Yes
74,Two year,Yes
75,Month-to-month,Yes
76,One year,No
77,One year,No
78,Month-to-month,No
79,Month-to-month,Yes
80,One year,Yes
81,Month-to-month,Yes
82,Month-to-month,No
83,Month-to-month,Yes
84,Month-to-month,Yes
85,Two year,Yes
86,Month-to-month,Yes
87,One year,Yes
88,Two year,No
89,Two year,Yes
90,Month-to-month,No
91,Month-to-month,No
92,Month-to-month,No
93,Two year,Yes
94,Month-to-month,Yes
95,Two year,Yes
96,Month-to-month,Yes
97,One year,Yes
98,Month-to-month,No
99,Two year,No
100,Month-to-month,Yes
101,Month-to-month,No
102,Month-to-month,No
103,One year,No
104,One year,No
105,Two year,Yes
106,Month-to-month,No
107,One year,Yes
108,One year,No
109,One year,No
110,Two year,No
111,Month-to-month,Yes
112,One year,No
113,Month-to-month,Yes
114,Month-to-month,Yes
115,Two year,Yes
116,Month-to-month,No
117,Two year,No
118,Month-to-month,Yes
119,Two year,No
120,Month-to-month,Yes
121,One year,Yes
122,Month-to-month,No
123,Month-to-month,Yes
124,Month-to-month,No
125,Month-to-month,No
126,Two year,Yes
127,Month-to-month,Yes
128,Two year,Yes
129,Month-to-month,No
130,One year,Yes
131,Month-to-month,Yes
132,Month-to-month,Yes
133,Two year,No
134,Month-to-month,Yes
135,Month-to-month,No
136,Two year,Yes
137,Month-to-month,Yes
138,Two year,No
139,Two year,Yes
140,Month-to-month,Yes
141,Two year,Yes
142,Month-to-month,No
143,Two year,Yes
144,One year,Yes
145,Two year,No
146,Two year,Yes
147,One year,No
148,Month-to-month,Yes
149,One year,No
150,Month-to-month,Yes
151,Month-to-month,Yes
152,Month-to-month,No
153,One year,Yes
154,Two year,No
155,Month-to-month,No
156,Month-to-month,Yes
157,Month-to-month,Yes
158,One year,No
159,Two year,No
160,Two year,No
161,Month-to-month,Yes
162,Month-to-month,No
