paymentID,PaymentMethod
1,Electronic check
2,Mailed check
3,Mailed check
4,Bank transfer (automatic)
5,Electronic check
6,Electronic check
7,Credit card (automatic)
8,Mailed check
9,Electronic check
10,Bank transfer (automatic)
11,Mailed check
12,Credit card (automatic)
13,Credit card (automatic)
14,Bank transfer (automatic)
15,Electronic check
16,Credit card (automatic)
17,Mailed check
18,Bank transfer (automatic)
19,Credit card (automatic)
20,Electronic check
21,Electronic check
22,Bank transfer (automatic)
23,Mailed check
24,Credit card (automatic)
25,Credit card (automatic)
26,Bank transfer (automatic)
27,Electronic check
28,Electronic check
29,Credit card (automatic)
30,Mailed check
31,Credit card (automatic)
32,Credit card (automatic)
33,Mailed check
34,Bank transfer (automatic)
35,Bank transfer (automatic)
36,Bank transfer (automatic)
37,Electronic check
38,Credit card (automatic)
39,Electronic check
40,Bank transfer (automatic)
41,Mailed check
42,Credit card (automatic)
43,Mailed check
44,Credit card (automatic)
45,Electronic check
46,Electronic check
47,Mailed check
48,Electronic check
49,Credit card (automatic)
50,Credit card (automatic)
51,Electronic check
52,Credit card (automatic)
53,Credit card (automatic)
54,Credit card (automatic)
55,Credit card (automatic)
56,Electronic check
57,Credit card (automatic)
58,Electronic check
59,Credit card (automatic)
60,Credit card (automatic)
61,Electronic check
62,Bank transfer (automatic)
63,Bank transfer (automatic)
64,Credit card (automatic)
65,Electronic check
66,Electronic check
67,Electronic check
68,Mailed check
69,Bank transfer (automatic)
70,Mailed check
71,Mailed check
72,Electronic check
73,Bank transfer (automatic)
74,Bank transfer (automatic)
75,Bank transfer (automatic)
76,Electronic check
77,Credit card (automatic)
78,Mailed check
79,Electronic check
80,Credit card (automatic)
81,Electronic check
82,Electronic check
83,Bank transfer (automatic)
84,Bank transfer (automatic)
85,Bank transfer (automatic)
86,Credit card (automatic)
87,Bank transfer (automatic)
88,Bank transfer (automatic)
89,Mailed check
90,Mailed check
91,Bank transfer (automatic)
92,Electronic check
93,Mailed check
94,Credit card (automatic)
95,Bank transfer (automatic)
96,Electronic check
97,Credit card (automatic)
98,Mailed check
99,Bank transfer (automatic)
100,Electronic check
101,Mailed check
102,Electronic check
103,Bank transfer (automatic)
104,Bank transfer (automatic)
105,Bank transfer (automatic)
106,Mailed check
107,Electronic check
108,Mailed check
109,Mailed check
110,Credit card (automatic)
111,Electronic check
112,Credit card (automatic)
113,Electronic check
114,Electronic check
115,Electronic check
116,Electronic check
117,Bank transfer (automatic)
118,Electronic check
119,Mailed check
120,Credit card (automatic)
121,Credit card (automatic)
122,Mailed check
123,Electronic check
124,Mailed check
125,Mailed check
126,Electronic check
127,Electronic check
128,Bank transfer (automatic)
129,Mailed check
130,Electronic check
131,Electronic check
132,Credit card (automatic)
133,Bank transfer (automatic)
134,Electronic check
135,Electronic check
136,Credit card (automatic)
137,Bank transfer (automatic)
138,Mailed check
139,Mailed check
140,Mailed check
141,Credit card (automatic)
142,Electronic check
143,Bank transfer (automatic)
144,Credit card (automatic)
145,Bank transfer (automatic)
146,Credit card (automatic)
147,Mailed check
148,Electronic check
149,Credit card (automatic)
150,Mailed check
151,Electronic check
152,Mailed check
153,Credit card (automatic)
154,Electronic check
155,Mailed check
156,Bank transfer (automatic)
157,Bank transfer (automatic)
158,Mailed check
159,Mailed check
160,Bank transfer (automatic)
161,Electronic check
162,Electronic check
163,Electronic check
164,Bank transfer (automatic)
165,Mailed check
166,Mailed check
167,Bank transfer (automatic)
168,Bank transfer (automatic)
169,Electronic check
170,Electronic check
171,Bank transfer (automatic)
172,Electronic check
173,Mailed check
174,Bank transfer (automatic)
175,Bank transfer (automatic)
176,Electronic check
177,Mailed check
178,Bank transfer (automatic)
179,Bank transfer (automatic)
180,Credit card (automatic)
181,Bank transfer (automatic)
182,Mailed check
183,Bank transfer (automatic)
184,Credit card (automatic)
185,Electronic check
186,Electronic check
187,Mailed check
188,Electronic check
189,Electronic check
190,Credit card (automatic)
191,Credit card (automatic)
192,Electronic check
193,Bank transfer (automatic)
194,Credit card (automatic)
195,Credit card (automatic)
196,Electronic check
197,Bank transfer (automatic)
198,Electronic check
199,Bank transfer (automatic)
200,Mailed check
201,Credit card (automatic)
202,Credit card (automatic)
203,Electronic check
204,Credit card (automatic)
205,Credit card (automatic)
206,Bank transfer (automatic)
207,Credit card (automatic)
208,Electronic check
209,Electronic check
210,Credit card (automatic)
211,Credit card (automatic)
212,Electronic check
213,Mailed check
214,Electronic check
215,Electronic check
216,Bank transfer (automatic)
217,Credit card (automatic)
218,Bank transfer (automatic)
219,Bank transfer (automatic)
220,Bank transfer (automatic)
221,Electronic check
222,Bank transfer (automatic)
223,Electronic check
224,Mailed check
225,Bank transfer (automatic)
226,Mailed check
227,Mailed check
228,Mailed check
229,Credit card (automatic)
230,Credit card (automatic)
231,Credit card (automatic)
232,Credit card (automatic)
233,Mailed check
234,Credit card (automatic)
235,Electronic check
236,Mailed check
237,Mailed check
238,Electronic check
239,Electronic check
240,Mailed check
241,Bank transfer (automatic)
242,Bank transfer (automatic)
243,Credit card (automatic)
244,Electronic check
245,Electronic check
246,Electronic check
247,Mailed check
248,Electronic check
249,Mailed check
250,Electronic check
251,Electronic check
252,Electronic check
253,Electronic check
254,Credit card (automatic)
255,Mailed check
256,Electronic check
257,Credit card (automatic)
258,Credit card (automatic)
259,Credit card (automatic)
260,Electronic check
261,Electronic check
262,Electronic check
263,Electronic check
264,Bank transfer (automatic)
265,Mailed check
266,Mailed check
267,Bank transfer (automatic)
268,Mailed check
269,Mailed check
270,Credit card (automatic)
271,Electronic check
272,Electronic check
273,Bank transfer (automatic)
274,Electronic check
275,Mailed check
276,Electronic check
277,Electronic check
278,Bank transfer (automatic)
279,Electronic check
280,Bank transfer (automatic)
281,Mailed check
282,Electronic check
283,Mailed check
284,Mailed check
285,Mailed check
286,Credit card (automatic)
287,Electronic check
288,Electronic check
289,Electronic check
290,Credit card (automatic)
291,Electronic check
292,Mailed check
293,Mailed check
294,Electronic check
295,Mailed check
296,Mailed check
297,Electronic check
298,Electronic check
299,Electronic check
300,Mailed check
301,Bank transfer (automatic)
302,Electronic check
303,Electronic check
304,Credit card (automatic)
305,Mailed check
306,Mailed check
307,Electronic check
308,Mailed check
309,Electronic check
310,Credit card (automatic)
311,Bank transfer (automatic)
312,Electronic check
313,Credit card (automatic)
314,Electronic check
315,Electronic check
316,Credit card (automatic)
317,Credit card (automatic)
318,Credit card (automatic)
319,Electronic check
320,Credit card (automatic)
321,Bank transfer (automatic)
322,Electronic check
323,Electronic check
324,Mailed check
325,Bank transfer (automatic)
326,Credit card (automatic)
327,Electronic check
328,Electronic check
329,Electronic check
330,Credit card (automatic)
331,Mailed check
332,Mailed check
333,Credit card (automatic)
334,Electronic check
335,Mailed check
336,Bank transfer (automatic)
337,Electronic check
338,Electronic check
339,Credit card (automatic)
340,Electronic check
341,Bank transfer (automatic)
342,Credit card (automatic)
343,Bank transfer (automatic)
344,Mailed check
345,Credit card (automatic)
346,Electronic check
347,Electronic check
348,Bank transfer (automatic)
349,Electronic check
350,Bank transfer (automatic)
351,Credit card (automatic)
352,Mailed check
353,Electronic check
354,Bank transfer (automatic)
355,Electronic check
356,Bank transfer (automatic)
357,Electronic check
358,Electronic check
359,Credit card (automatic)
360,Electronic check
361,Mailed check
362,Bank transfer (automatic)
363,Credit card (automatic)
364,Mailed check
365,Bank transfer (automatic)
366,Bank transfer (automatic)
367,Bank transfer (automatic)
368,Mailed check
369,Credit card (automatic)
370,Credit card (automatic)
371,Mailed check
372,Electronic check
373,Mailed check
374,Credit card (automatic)
375,Credit card (automatic)
376,Credit card (automatic)
377,Mailed check
378,Bank transfer (automatic)
379,Electronic check
380,Electronic check
381,Bank transfer (automatic)
382,Mailed check
383,Bank transfer (automatic)
384,Credit card (automatic)
385,Bank transfer (automatic)
386,Mailed check
387,Electronic check
388,Electronic check
389,Mailed check
390,Electronic check
391,Bank transfer (automatic)
392,Bank transfer (automatic)
393,Electronic check
